unit_code,School_Name,Lea_Name,County,Year,Index Rate,Violent Rate,Property Rate,Murder Rate,Rape Rate,Robbery Rate,Assault Rate,Burglary Rate,Larceny Rate,MVT Rate,Arson Rate
010303,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010362,Marvin B Smith Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010364,North Graham Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010372,"Pleasant Grove Elementary, Burlington",Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010374,R Homer Andrews Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010378,Ray Street Academy,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010380,South Graham Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010384,South Mebane Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010388,Southern High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010392,Sylvan Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010394,Turrentine Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010396,Walter M Williams High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010400,Western Alamance High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010403,Western Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010406,Woodlawn Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010LEA,,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010360,Hugh M Cummings High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010358,Hillcrest Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010390,"Southern Middle, Graham",Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010354,Harvey R Newlin Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010357,Haw River Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010308,Altamahaw Ossipee Elem,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010310,Broadview Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010311,Career Technical Education Center,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010312,"Highland Elementary, Burlington",Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010320,E M Yoder Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010324,Eastern Alamance High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010326,Eastlawn Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010304,Alexander Wilson Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010353,Hawfields Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010340,Elon Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010346,B Everett Jordan Elem,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010347,Garrett Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010348,Graham High,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010350,Graham Middle,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010351,Grove Park Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
010328,Edwin M Holt Elementary,Alamance-Burlington Schools,Alamance-Burlington,,,,,,,,,,,,
020328,Taylorsville Elementary,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020324,Sugar Loaf Elementary,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020320,Stony Point Elementary,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020316,Hiddenite Elementary,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020308,Ellendale Elementary,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020304,Bethlehem Elementary,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020302,Alexander Central High,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020330,West Alexander Middle,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020LEA,,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020306,East Alexander Middle,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
020332,Wittenburg Elementary,Alexander County Schools,Alexander County,2015,"1,823.9",163.9,"1,660.0",2.6,13.2,7.9,140.1,568.3,999.2,92.5,18.5
030304,Alleghany High,Alleghany County Schools,Alleghany County,2015,"1,188.9",75.0,"1,114.0",,42.8,,32.1,546.3,535.6,32.1,
030308,Glade Creek Elementary,Alleghany County Schools,Alleghany County,2015,"1,188.9",75.0,"1,114.0",,42.8,,32.1,546.3,535.6,32.1,
030320,Sparta Elementary,Alleghany County Schools,Alleghany County,2015,"1,188.9",75.0,"1,114.0",,42.8,,32.1,546.3,535.6,32.1,
030316,Piney Creek Elementary,Alleghany County Schools,Alleghany County,2015,"1,188.9",75.0,"1,114.0",,42.8,,32.1,546.3,535.6,32.1,
030LEA,,Alleghany County Schools,Alleghany County,2015,"1,188.9",75.0,"1,114.0",,42.8,,32.1,546.3,535.6,32.1,
040328,Peachland-Polkton Elem,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040316,Lilesville Elementary,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040330,Wadesboro Elementary,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040LEA,,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040311,Wadesboro Primary,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040700,Anson New Tech High,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040309,Anson Middle,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040324,Morven Elementary,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040306,Anson High School,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040305,Anson Academy,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040304,Anson Co. Early College High,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
040308,Ansonville Elementary,Anson County Schools,Anson County,2015,"2,998.3",502.8,"2,495.5",9.1,32.0,50.3,411.4,"1,124.4","1,316.3",54.8,13.7
050302,Ashe County High,Ashe County Schools,Ashe County,2015,"1,318.9",112.9,"1,205.9",,29.1,7.3,76.5,382.5,761.4,61.9,
050305,Ashe County Middle,Ashe County Schools,Ashe County,2015,"1,318.9",112.9,"1,205.9",,29.1,7.3,76.5,382.5,761.4,61.9,
050310,Blue Ridge Elementary,Ashe County Schools,Ashe County,2015,"1,318.9",112.9,"1,205.9",,29.1,7.3,76.5,382.5,761.4,61.9,
050330,"Mountain View Elementary, Jefferson",Ashe County Schools,Ashe County,2015,"1,318.9",112.9,"1,205.9",,29.1,7.3,76.5,382.5,761.4,61.9,
050335,Westwood Elementary,Ashe County Schools,Ashe County,2015,"1,318.9",112.9,"1,205.9",,29.1,7.3,76.5,382.5,761.4,61.9,
050LEA,,Ashe County Schools,Ashe County,2015,"1,318.9",112.9,"1,205.9",,29.1,7.3,76.5,382.5,761.4,61.9,
761321,Donna L Loflin Elementary,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
761312,Balfour Elementary,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
761LEA,,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
761308,South Asheboro Middle,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
761336,North Asheboro Middle,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
761332,Lindley Park Elementary,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
761328,Guy B Teachey Elementary,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
761304,Asheboro High,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
761320,Charles W McCrary Elementary,Asheboro City Schools,Asheboro City,,,,,,,,,,,,
111LEA,,Asheville City Schools,Asheville City,,,,,,,,,,,,
111700,School of Inquiry and Life Sciences,Asheville City Schools,Asheville City,,,,,,,,,,,,
111360,"Vance Elementary, Asheville",Asheville City Schools,Asheville City,,,,,,,,,,,,
111356,Asheville Middle,Asheville City Schools,Asheville City,,,,,,,,,,,,
111332,Ira B Jones Elementary,Asheville City Schools,Asheville City,,,,,,,,,,,,
111312,"Claxton Elementary, Asheville",Asheville City Schools,Asheville City,,,,,,,,,,,,
111306,Isaac Dickson Elementary,Asheville City Schools,Asheville City,,,,,,,,,,,,
111304,Hall Fletcher Elementary,Asheville City Schools,Asheville City,,,,,,,,,,,,
111302,Asheville High,Asheville City Schools,Asheville City,,,,,,,,,,,,
060332,Riverside Elementary,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060701,Avery High Viking Academy,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060700,Avery High STEM Academy,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060334,Blue Ridge Academy,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060328,Newland Elementary,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060322,Freedom Trail Elementary,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060318,Avery Middle,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060316,Crossnore Elementary,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060310,Cranberry Middle,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060304,Banner Elk Elementary,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060302,Avery County High,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
060LEA,,Avery County Schools,Avery County,2015,"1,162.9",118.5,"1,044.3",,11.3,0.0,107.3,333.1,637.9,73.4,5.6
070LEA,,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070326,Chocowinity Primary,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070340,S W Snowden Elementary,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070302,"Eastern Elementary, Washington",Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070308,Bath Elementary,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070310,B C Ed Tech Center,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070311,Beaufort Co Early College High,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070325,Chocowinity Middle,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070327,John C Tayloe Elementary,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070328,John Small Elementary,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070329,"Northeast Elementary, Pinetown",Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070330,"Northside High, Pinetown",Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070338,P S Jones Middle,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070339,Southside High,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
070342,Washington High,Beaufort County Schools,Beaufort County,2015,"2,607.5",330.4,"2,277.1",8.5,12.7,44.5,264.8,760.4,"1,438.3",78.4,19.1
080LEA,,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080700,Bertie STEM High,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080375,Bertie Academy,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080362,Windsor Elementary,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080360,Colerain Elementary,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080356,West Bertie Elementary,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080348,Aulander Elementary,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080314,Bertie Middle,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080312,Bertie High,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
080311,Bertie Early College High,Bertie County Schools,Bertie County,2015,"2,285.3",129.4,"2,155.8",,14.9,19.9,94.6,985.8,"1,075.4",94.6,34.9
090LEA,,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090365,Tar Heel Middle,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090317,Bladenboro Primary,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090352,Plain View Primary,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090333,Elizabethtown Primary,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090332,Elizabethtown Middle,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090330,East Bladen High,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090328,East Arcadia Elementary,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090324,Dublin Primary,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090320,Clarkton School of Discovery,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090318,Bladen Lakes Primary,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090315,Bladenboro Middle,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090304,B T Washington Primary,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
090368,West Bladen High,Bladen County Schools,Bladen County,2015,,,,,,,,,,,
100LEA,,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100348,West Brunswick High,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100342,Virginia Williamson Elem,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100340,"Union Elementary, Shallotte",Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100344,Waccamaw,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100338,Supply Elementary,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100302,Belville Elementary,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100304,Bolivia Elementary,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100307,Brunswick County Early College,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100308,Brunswick County Academy,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100339,Town Creek Elementary,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100310,Jessie Mae Monroe Elementary,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100316,Leland Middle,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100309,Cedar Grove Middle,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100320,"Lincoln Elementary, Leland",Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100326,North Brunswick High,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100332,Shallotte Middle,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100334,South Brunswick High,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100335,South Brunswick Middle,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
100336,Southport Elementary,Brunswick County Schools,Brunswick County,2015,"1,811.6",130.6,"1,681.1",0.0,19.8,24.3,86.4,654.6,978.8,47.7,5.4
110401,Enka Middle,Buncombe County Schools,Buncombe County,2015,"2,947.9",239.1,"2,708.9",4.4,20.4,71.0,143.3,648.6,"1,903.8",156.5,13.6
110408,Sand Hill-Venable Elem,Buncombe County Schools,Buncombe County,2015,"2,947.9",239.1,"2,708.9",4.4,20.4,71.0,143.3,648.6,"1,903.8",156.5,13.6
110410,Avery's Creek Elementary,Buncombe County Schools,Buncombe County,2015,"2,947.9",239.1,"2,708.9",4.4,20.4,71.0,143.3,648.6,"1,903.8",156.5,13.6
110416,Roberson High,Buncombe County Schools,Buncombe County,2015,"2,947.9",239.1,"2,708.9",4.4,20.4,71.0,143.3,648.6,"1,903.8",156.5,13.6
110420,Valley Springs Middle,Buncombe County Schools,Buncombe County,2015,"2,947.9",239.1,"2,708.9",4.4,20.4,71.0,143.3,648.6,"1,903.8",156.5,13.6
