,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
tchyrs_0thru3_pct,0.5,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.94
lateral_teach_pct,0.5,0.51,0.72,0.82,0.09,0.21,0.78,0.75,0.55
flicensed_teach_pct,0.5,0.28,0.26,0.29,0.97,0.26,0.69,0.83,0.51
short_susp_per_c_num,0.5,0.5,0.47,0.6,0.91,0.13,0.25,0.63,0.5
tchyrs_11plus_pct,0.5,0.74,0.14,0.18,0.97,0.1,0.51,0.54,0.46
lea_tchyrs_0thru3_pct,0.5,0.47,0.28,0.35,0.99,0.05,0.49,0.54,0.46
Proficient_TCHR_Standard 1_Pct,0.5,0.5,0.41,0.45,0.9,0.12,0.29,0.45,0.45
Developing_TCHR_Standard 1_Pct,0.5,0.46,0.38,0.44,0.88,0.05,0.29,0.43,0.43
EOG/EOCSubjects_CACR_All,0.5,0.45,0.26,0.29,0.82,0.06,0.36,0.66,0.42
lea_salary_expense_pct,1.0,0.49,0.28,0.38,0.93,0.01,0.07,0.22,0.42
EOGScienceGr5_GLP_SWD,0.5,0.71,0.29,0.43,0.77,0.01,0.15,0.4,0.41
EOGSubjects_CACR_AIG,0.5,0.55,0.26,0.35,0.87,0.01,0.13,0.6,0.41
st_lateral_teach_pct,0.86,0.44,0.26,0.29,0.89,0.0,0.15,0.37,0.41
st_tchyrs_4thru10_pct,0.85,0.38,0.26,0.29,0.99,0.0,0.13,0.37,0.41
EOGMathGr3-8_GLP_SWD,0.5,0.5,0.26,0.29,0.84,0.01,0.28,0.53,0.4
Developing_TCHR_Standard 4_Pct,0.5,0.5,0.47,0.5,0.41,0.04,0.32,0.45,0.4
Accomplished_TCHR_Standard 4_Pct,0.5,0.43,0.26,0.29,0.88,0.05,0.26,0.51,0.4
st_short_susp_per_c_num,0.86,0.45,0.26,0.29,0.99,0.0,0.0,0.37,0.4
EOG/EOCSubjects_CACR_SWD,0.5,0.5,0.26,0.29,0.84,0.03,0.23,0.5,0.39
EOGReadingGr3-8_CACR_EDS,0.5,0.49,0.26,0.33,0.66,0.02,0.25,0.63,0.39
EOGSubjects_CACR_SWD,0.5,0.48,0.26,0.29,0.74,0.01,0.28,0.56,0.39
lea_flicensed_teach_pct,0.5,0.09,0.26,0.29,0.91,0.06,0.39,0.62,0.39
EOGGr3_CACR_All,0.5,0.48,0.26,0.29,0.56,0.02,0.27,0.64,0.38
Proficient_TCHR_Standard 2_Pct,0.5,0.36,0.26,0.29,0.96,0.04,0.22,0.39,0.38
Domestic production activities deduction Ct 25KLT50K,0.5,0.71,0.3,0.5,0.93,0.0,0.02,0.07,0.38
lea_services_expense_pct,0.87,0.44,0.33,0.38,0.64,0.09,0.12,0.17,0.38
EOGGr4_CACR_AIG,0.5,0.54,0.32,0.37,0.76,0.01,0.15,0.42,0.38
Proficient_TCHR_Standard 5_Pct,0.5,0.47,0.26,0.29,0.95,0.05,0.17,0.34,0.38
EOGGr5_CACR_All,0.5,0.32,0.26,0.27,0.78,0.01,0.27,0.6,0.38
ReadingGr3-8_pTarget_PctMet,0.5,0.35,0.26,0.27,0.79,0.01,0.22,0.65,0.38
Crime_Rate_Violent_Rate,0.5,0.69,0.27,0.41,0.91,0.02,0.07,0.14,0.38
TotalTargets_pTarget_PctMet,0.5,0.45,0.26,0.3,0.74,0.03,0.22,0.58,0.38
EOGMathGr3-8_CACR_EDS,0.5,0.48,0.26,0.29,0.45,0.03,0.28,0.65,0.37
Proficient_TCHR_Standard 4_Pct,0.5,0.35,0.24,0.23,0.88,0.04,0.28,0.45,0.37
SPG Score,0.5,0.34,0.26,0.29,0.81,0.04,0.23,0.5,0.37
EOGMathGr3-8_CACR_SWD,0.5,0.28,0.26,0.27,0.84,0.01,0.28,0.52,0.37
Developing_TCHR_Standard 5_Pct,0.5,0.44,0.26,0.29,0.94,0.02,0.13,0.38,0.37
EOG/EOCSubjects_GLP_SWD,0.5,0.18,0.26,0.28,0.85,0.04,0.25,0.57,0.37
lea_lateral_teach_pct,0.5,0.04,0.24,0.09,0.92,0.03,0.47,0.63,0.37
EOCSubjects_GLP_SWD,0.5,0.6,0.31,0.41,0.85,0.01,0.01,0.17,0.36
pct_PROMOTED,0.5,0.35,0.19,0.22,0.7,0.04,0.21,0.64,0.36
MathGr3-8_pTarget_PctMet,0.5,0.25,0.18,0.18,0.9,0.01,0.23,0.67,0.36
Reading  SPG Score,0.5,0.32,0.26,0.29,0.44,0.02,0.23,0.82,0.36
EOG/EOCSubjects_CACR_AIG,0.5,0.25,0.22,0.18,0.86,0.07,0.11,0.6,0.35
EOGReadingGr3-8_GLP_SWD,0.5,0.48,0.26,0.29,0.53,0.02,0.25,0.5,0.35
lea_emer_prov_teach_pct,0.5,0.39,0.47,0.54,0.65,0.03,0.07,0.16,0.35
Reading SPG Grade_F,0.5,0.48,0.38,0.39,0.68,0.0,0.17,0.23,0.35
EOGMathGr5_CACR_Hispanic,0.5,0.57,0.32,0.41,0.86,0.0,0.04,0.13,0.35
lea_supplies_expense_pct,0.9,0.35,0.26,0.29,0.8,0.02,0.06,0.11,0.35
SBE Region,0.5,0.51,0.26,0.33,0.79,0.02,0.13,0.29,0.35
lea_benefits_expense_pct,0.67,0.28,0.2,0.18,0.93,0.02,0.22,0.31,0.35
Developing_TCHR_Standard 2_Pct,0.5,0.33,0.26,0.25,0.94,0.01,0.16,0.37,0.35
Accomplished_TCHR_Standard 2_Pct,0.5,0.38,0.26,0.29,0.95,0.03,0.13,0.29,0.35
tchyrs_4thru10_pct,0.5,0.66,0.26,0.29,0.97,0.05,0.02,0.04,0.35
0-3 Years_LEA_Exp_Pct_Prin,0.5,0.43,0.26,0.29,1.0,0.06,0.11,0.11,0.34
Self-employment retirement plans Amt 25KLT50K,0.5,0.61,0.42,0.47,0.6,0.0,0.03,0.08,0.34
EOG/EOCSubjects_GLP_LEP,0.5,0.53,0.26,0.39,0.83,0.02,0.06,0.17,0.34
EVAAS Growth Score,0.5,0.54,0.26,0.34,0.81,0.04,0.06,0.17,0.34
