LEACode,LEAName,TotalTeachers,TeachersLeaving,PersonalReasons,PersonalPerct,InitiatedbyLEA,InitiatedPerct,BeyondControlofLEA,BeyondControlPerct,OtherReasons,OtherReasonsPerct
010,Alamance-Burlington Schools,1562,130,69,53.1%,13,10.0%,21,16.2%,27,20.8%
020,Alexander County Schools,327,16,9,56.3%,2,12.5%,2,12.5%,3,18.8%
030,Alleghany County Schools,120,4,3,75.0%,0,0.0%,1,25.0%,0,0.0%
040,Anson County Schools,226,31,17,54.8%,0,0.0%,11,35.5%,3,9.7%
050,Ashe County Schools,233,11,3,27.3%,0,0.0%,6,54.5%,2,18.2%
060,Avery County Schools,168,8,5,62.5%,0,0.0%,3,37.5%,0,0.0%
070,Beaufort County Schools,488,35,15,42.9%,2,5.7%,15,42.9%,3,8.6%
080,Bertie County Schools,158,27,13,48.1%,5,18.5%,9,33.3%,0,0.0%
090,Bladen County Schools,307,28,13,46.4%,0,0.0%,12,42.9%,3,10.7%
100,Brunswick County Schools,805,62,38,61.3%,8,12.9%,11,17.7%,5,8.1%
110,Buncombe County Schools,1650,146,75,51.4%,11,7.5%,42,28.8%,18,12.3%
111,Asheville City Schools,323,41,27,65.9%,2,4.9%,9,22.0%,3,7.3%
120,Burke County Schools,790,67,36,53.7%,2,3.0%,20,29.9%,9,13.4%
130,Cabarrus County Schools,1946,165,99,60.0%,3,1.8%,42,25.5%,21,12.7%
132,Kannapolis City Schools,372,21,12,57.1%,0,0.0%,3,14.3%,6,28.6%
140,Caldwell County Schools,839,52,25,48.1%,1,1.9%,21,40.4%,5,9.6%
150,Camden County Schools,128,5,3,60.0%,0,0.0%,2,40.0%,0,0.0%
160,Carteret County Public Schools,626,61,37,60.7%,5,8.2%,13,21.3%,6,9.8%
170,Caswell County Schools,190,20,4,20.0%,2,10.0%,10,50.0%,4,20.0%
180,Catawba County Schools,1031,57,31,54.4%,4,7.0%,19,33.3%,3,5.3%
181,Hickory City Schools,288,32,15,46.9%,3,9.4%,10,31.3%,4,12.5%
182,Newton Conover City Schools,213,14,6,42.9%,5,35.7%,1,7.1%,2,14.3%
190,Chatham County Schools,603,52,21,40.4%,6,11.5%,18,34.6%,7,13.5%
200,Cherokee County Schools,261,13,5,38.5%,1,7.7%,7,53.8%,0,0.0%
210,Edenton-Chowan Schools,143,9,6,66.7%,0,0.0%,3,33.3%,0,0.0%
220,Clay County Schools,94,4,3,75.0%,0,0.0%,1,25.0%,0,0.0%
230,Cleveland County Schools,1047,65,38,58.5%,0,0.0%,14,21.5%,13,20.0%
240,Columbus County Schools,401,30,17,56.7%,13,0.0%,7,23.3%,6,20.0%
241,Whiteville City Schools,162,14,6,42.9%,1,7.1%,7,50.0%,0,0.0%
250,Craven County Schools,936,105,43,41.0%,2,1.9%,33,31.4%,27,25.7%
260,Cumberland County Schools,3369,369,177,48.0%,66,17.9%,78,21.1%,48,13.0%
270,Currituck County Schools,253,19,7,36.8%,1,5.3%,10,52.6%,1,5.3%
280,Dare County Schools,379,20,7,35.0%,0,0.0%,11,55.0%,2,10.0%
290,Davidson County Schools,1215,56,29,51.8%,5,8.9%,17,30.4%,5,8.9%
291,Lexington City Schools,207,22,11,50.0%,2,9.1%,2,9.1%,7,31.8%
292,Thomasville City Schools,171,22,9,40.9%,2,9.1%,2,9.1%,9,40.9%
300,Davie County Schools,433,21,12,57.1%,0,0.0%,7,33.3%,2,9.5%
310,Duplin County Schools,647,58,28,48.3%,6,10.3%,17,29.3%,7,12.1%
320,Durham Public Schools,2395,276,135,48.9%,11,4.0%,35,12.7%,95,34.4%
330,Edgecombe County Public Schools,383,48,28,58.3%,8,16.7%,6,12.5%,6,12.5%
340,Winston Salem/Forsyth County Schools,3763,360,228,63.3%,28,7.8%,74,20.6%,30,8.3%
350,Franklin County Schools,574,75,20,26.7%,1,1.3%,27,36.0%,27,36.0%
